,"Most similar countries to coresponding (topic, country) pair"
spice_United States,"[('Netherlands', 0.879), ('Serbia', 0.869), ('Brazil', 0.861), ('India', 0.839), ('China', 0.825), ('Romania', 0.818), ('Pakistan', 0.813), ('Spain', 0.812), ('Mexico', 0.807), ('South Korea', 0.805), ('Colombia', 0.795), ('Thailand', 0.793), ('Philippines', 0.79), ('Argentina', 0.785), ('United Kingdom', 0.784), ('Nepal', 0.78), ('Italy', 0.775), ('South Africa', 0.769), ('Indonesia', 0.766), ('Turkey', 0.759), ('Saudi Arabia', 0.756), ('United Arab Emirates', 0.743), ('Nigeria', 0.743), ('Japan', 0.743), ('Egypt', 0.739)]"
spice_Brazil,"[('Serbia', 0.925), ('Pakistan', 0.919), ('India', 0.909), ('China', 0.889), ('Nepal', 0.887), ('Netherlands', 0.886), ('United States', 0.861), ('Indonesia', 0.853), ('Colombia', 0.85), ('Romania', 0.842), ('Thailand', 0.829), ('Argentina', 0.813), ('Philippines', 0.813), ('Mexico', 0.813), ('Nigeria', 0.81), ('South Korea', 0.807), ('Spain', 0.804), ('Egypt', 0.801), ('Saudi Arabia', 0.796), ('Turkey', 0.792), ('Italy', 0.771), ('United Arab Emirates', 0.759), ('South Africa', 0.755), ('United Kingdom', 0.755), ('Japan', 0.747)]"
spice_Pakistan,"[('India', 0.936), ('Brazil', 0.919), ('Indonesia', 0.885), ('Nepal', 0.883), ('China', 0.881), ('Netherlands', 0.879), ('Nigeria', 0.86), ('Egypt', 0.859), ('Colombia', 0.857), ('Serbia', 0.852), ('Saudi Arabia', 0.849), ('Thailand', 0.848), ('Philippines', 0.84), ('Argentina', 0.837), ('Romania', 0.834), ('Mexico', 0.831), ('Turkey', 0.821), ('South Korea', 0.818), ('United States', 0.813), ('Spain', 0.812), ('United Arab Emirates', 0.805), ('Italy', 0.793), ('South Africa', 0.778), ('United Kingdom', 0.771), ('Japan', 0.771)]"
spice_Netherlands,"[('Romania', 0.897), ('Colombia', 0.891), ('Brazil', 0.886), ('Spain', 0.883), ('India', 0.881), ('United States', 0.879), ('Pakistan', 0.879), ('Serbia', 0.878), ('China', 0.875), ('Mexico', 0.875), ('Thailand', 0.87), ('Argentina', 0.869), ('South Korea', 0.865), ('Philippines', 0.862), ('Italy', 0.861), ('Indonesia', 0.861), ('Turkey', 0.857), ('United Kingdom', 0.856), ('Saudi Arabia', 0.852), ('South Africa', 0.847), ('Nigeria', 0.843), ('Egypt', 0.841), ('Japan', 0.823), ('United Arab Emirates', 0.818), ('Nepal', 0.771)]"
spice_Serbia,"[('Brazil', 0.925), ('India', 0.898), ('Nepal', 0.885), ('Netherlands', 0.878), ('United States', 0.869), ('China', 0.868), ('Romania', 0.859), ('Pakistan', 0.852), ('Colombia', 0.831), ('Indonesia', 0.827), ('Thailand', 0.823), ('Argentina', 0.816), ('Spain', 0.811), ('South Korea', 0.81), ('Mexico', 0.807), ('Turkey', 0.806), ('Philippines', 0.798), ('Saudi Arabia', 0.793), ('Egypt', 0.791), ('Nigeria', 0.78), ('United Kingdom', 0.776), ('Italy', 0.774), ('United Arab Emirates', 0.759), ('South Africa', 0.756), ('Japan', 0.742)]"
jug_Japan,"[('Thailand', 0.979), ('Turkey', 0.974), ('Mexico', 0.972), ('Spain', 0.969), ('Argentina', 0.968), ('Saudi Arabia', 0.967), ('Italy', 0.964), ('Romania', 0.962), ('United Arab Emirates', 0.961), ('South Korea', 0.959), ('Colombia', 0.952), ('South Africa', 0.952), ('Egypt', 0.951), ('United Kingdom', 0.95), ('Indonesia', 0.947), ('Nigeria', 0.943), ('Philippines', 0.907)]"
jug_South Africa,"[('Argentina', 0.987), ('Mexico', 0.986), ('Colombia', 0.984), ('Spain', 0.979), ('United Kingdom', 0.975), ('Italy', 0.97), ('Egypt', 0.968), ('Turkey', 0.965), ('Thailand', 0.964), ('Saudi Arabia', 0.962), ('Nigeria', 0.962), ('Indonesia', 0.961), ('United Arab Emirates', 0.954), ('Romania', 0.953), ('Japan', 0.952), ('Philippines', 0.918), ('South Korea', 0.903)]"
jug_Egypt,"[('Indonesia', 0.983), ('Nigeria', 0.981), ('Argentina', 0.978), ('Turkey', 0.976), ('United Arab Emirates', 0.976), ('Mexico', 0.976), ('Saudi Arabia', 0.971), ('Thailand', 0.969), ('Italy', 0.969), ('South Africa', 0.968), ('Spain', 0.968), ('Colombia', 0.957), ('Romania', 0.954), ('Japan', 0.951), ('United Kingdom', 0.935), ('Philippines', 0.928), ('South Korea', 0.904)]"
jug_Colombia,"[('South Africa', 0.984), ('Mexico', 0.981), ('Argentina', 0.977), ('Thailand', 0.968), ('Spain', 0.967), ('Indonesia', 0.965), ('United Kingdom', 0.958), ('Egypt', 0.957), ('Nigeria', 0.955), ('Turkey', 0.952), ('Japan', 0.952), ('Saudi Arabia', 0.951), ('Italy', 0.95), ('United Arab Emirates', 0.942), ('Philippines', 0.94), ('Romania', 0.93), ('South Korea', 0.911)]"
jug_Romania,"[('Italy', 0.981), ('Spain', 0.978), ('Turkey', 0.977), ('Argentina', 0.971), ('Mexico', 0.966), ('Japan', 0.962), ('Saudi Arabia', 0.956), ('Thailand', 0.956), ('United Arab Emirates', 0.956), ('United Kingdom', 0.955), ('Egypt', 0.954), ('South Africa', 0.953), ('Nigeria', 0.937), ('Colombia', 0.93), ('Indonesia', 0.93), ('South Korea', 0.905), ('Philippines', 0.867)]"
jug_Philippines,"[('Indonesia', 0.959), ('Nigeria', 0.946), ('Colombia', 0.94), ('Mexico', 0.934), ('Thailand', 0.932), ('Argentina', 0.929), ('Egypt', 0.928), ('Turkey', 0.92), ('South Africa', 0.918), ('Spain', 0.911), ('United Arab Emirates', 0.908), ('Japan', 0.907), ('Saudi Arabia', 0.899), ('South Korea', 0.887), ('Italy', 0.883), ('United Kingdom', 0.871), ('Romania', 0.867)]"
jug_Thailand,"[('Mexico', 0.979), ('Japan', 0.979), ('Turkey', 0.977), ('Argentina', 0.977), ('Spain', 0.972), ('United Arab Emirates', 0.97), ('Saudi Arabia', 0.969), ('Egypt', 0.969), ('Colombia', 0.968), ('Indonesia', 0.968), ('South Africa', 0.964), ('Nigeria', 0.962), ('Italy', 0.961), ('Romania', 0.956), ('South Korea', 0.952), ('United Kingdom', 0.948), ('Philippines', 0.932)]"
jug_Indonesia,"[('Nigeria', 0.984), ('Egypt', 0.983), ('Mexico', 0.973), ('Argentina', 0.971), ('Thailand', 0.968), ('Colombia', 0.965), ('South Africa', 0.961), ('Turkey', 0.961), ('United Arab Emirates', 0.96), ('Philippines', 0.959), ('Saudi Arabia', 0.956), ('Spain', 0.955), ('Italy', 0.949), ('Japan', 0.947), ('Romania', 0.93), ('United Kingdom', 0.92), ('South Korea', 0.907)]"
jug_Mexico,"[('Argentina', 0.993), ('Spain', 0.987), ('South Africa', 0.986), ('Colombia', 0.981), ('Turkey', 0.981), ('Thailand', 0.979), ('Italy', 0.978), ('Saudi Arabia', 0.976), ('Egypt', 0.976), ('Indonesia', 0.973), ('Japan', 0.972), ('Nigeria', 0.968), ('Romania', 0.966), ('United Arab Emirates', 0.964), ('United Kingdom', 0.962), ('Philippines', 0.934), ('South Korea', 0.92)]"
jug_Spain,"[('Argentina', 0.989), ('Turkey', 0.987), ('Mexico', 0.987), ('Italy', 0.984), ('South Africa', 0.979), ('Romania', 0.978), ('United Kingdom', 0.973), ('Thailand', 0.972), ('Saudi Arabia', 0.969), ('Japan', 0.969), ('Egypt', 0.968), ('Colombia', 0.967), ('United Arab Emirates', 0.963), ('Nigeria', 0.955), ('Indonesia', 0.955), ('South Korea', 0.924), ('Philippines', 0.911)]"
jug_Argentina,"[('Mexico', 0.993), ('Spain', 0.989), ('South Africa', 0.987), ('Italy', 0.984), ('Turkey', 0.983), ('Egypt', 0.978), ('Colombia', 0.977), ('Thailand', 0.977), ('Saudi Arabia', 0.975), ('Nigeria', 0.971), ('Romania', 0.971), ('Indonesia', 0.971), ('United Arab Emirates', 0.97), ('Japan', 0.968), ('United Kingdom', 0.966), ('Philippines', 0.929), ('South Korea', 0.919)]"
jug_United Kingdom,"[('South Africa', 0.975), ('Spain', 0.973), ('Argentina', 0.966), ('Italy', 0.963), ('Mexico', 0.962), ('Colombia', 0.958), ('Turkey', 0.956), ('Romania', 0.955), ('Saudi Arabia', 0.951), ('Japan', 0.95), ('Thailand', 0.948), ('United Arab Emirates', 0.936), ('Egypt', 0.935), ('Indonesia', 0.92), ('Nigeria', 0.918), ('South Korea', 0.909), ('Philippines', 0.871)]"
jug_South Korea,"[('Japan', 0.959), ('Thailand', 0.952), ('Turkey', 0.933), ('United Arab Emirates', 0.925), ('Spain', 0.924), ('Saudi Arabia', 0.923), ('Mexico', 0.92), ('Argentina', 0.919), ('Colombia', 0.911), ('United Kingdom', 0.909), ('Indonesia', 0.907), ('Romania', 0.905), ('Italy', 0.905), ('Egypt', 0.904), ('South Africa', 0.903), ('Nigeria', 0.903), ('Philippines', 0.887)]"
jug_United Arab Emirates,"[('Turkey', 0.977), ('Saudi Arabia', 0.976), ('Egypt', 0.976), ('Thailand', 0.97), ('Argentina', 0.97), ('Italy', 0.964), ('Nigeria', 0.964), ('Mexico', 0.964), ('Spain', 0.963), ('Japan', 0.961), ('Indonesia', 0.96), ('Romania', 0.956), ('South Africa', 0.954), ('Colombia', 0.942), ('United Kingdom', 0.936), ('South Korea', 0.925), ('Philippines', 0.908)]"
jug_Saudi Arabia,"[('Turkey', 0.976), ('United Arab Emirates', 0.976), ('Mexico', 0.976), ('Argentina', 0.975), ('Italy', 0.973), ('Egypt', 0.971), ('Thailand', 0.969), ('Spain', 0.969), ('Japan', 0.967), ('South Africa', 0.962), ('Indonesia', 0.956), ('Romania', 0.956), ('Nigeria', 0.953), ('United Kingdom', 0.951), ('Colombia', 0.951), ('South Korea', 0.923), ('Philippines', 0.899)]"
jug_Italy,"[('Argentina', 0.984), ('Spain', 0.984), ('Romania', 0.981), ('Turkey', 0.978), ('Mexico', 0.978), ('Saudi Arabia', 0.973), ('South Africa', 0.97), ('Egypt', 0.969), ('United Arab Emirates', 0.964), ('Japan', 0.964), ('United Kingdom', 0.963), ('Thailand', 0.961), ('Colombia', 0.95), ('Indonesia', 0.949), ('Nigeria', 0.948), ('South Korea', 0.905), ('Philippines', 0.883)]"
jug_Turkey,"[('Spain', 0.987), ('Argentina', 0.983), ('Mexico', 0.981), ('Italy', 0.978), ('Thailand', 0.977), ('United Arab Emirates', 0.977), ('Romania', 0.977), ('Saudi Arabia', 0.976), ('Egypt', 0.976), ('Japan', 0.974), ('South Africa', 0.965), ('Nigeria', 0.965), ('Indonesia', 0.961), ('United Kingdom', 0.956), ('Colombia', 0.952), ('South Korea', 0.933), ('Philippines', 0.92)]"
jug_Nigeria,"[('Indonesia', 0.984), ('Egypt', 0.981), ('Argentina', 0.971), ('Mexico', 0.968), ('Turkey', 0.965), ('United Arab Emirates', 0.964), ('South Africa', 0.962), ('Thailand', 0.962), ('Colombia', 0.955), ('Spain', 0.955), ('Saudi Arabia', 0.953), ('Italy', 0.948), ('Philippines', 0.946), ('Japan', 0.943), ('Romania', 0.937), ('United Kingdom', 0.918), ('South Korea', 0.903)]"
cooking_Brazil,"[('Colombia', 0.954), ('India', 0.908)]"
cooking_Colombia,"[('Brazil', 0.954), ('India', 0.926)]"
cooking_India,"[('Colombia', 0.926), ('Brazil', 0.908)]"
fence_South Africa,"[('Argentina', 0.928), ('Mexico', 0.925), ('Colombia', 0.917), ('Turkey', 0.901), ('Spain', 0.898), ('Romania', 0.893), ('Italy', 0.889), ('Egypt', 0.886), ('Thailand', 0.882), ('Indonesia', 0.877), ('Philippines', 0.876), ('China', 0.873), ('Japan', 0.865), ('South Korea', 0.855), ('United Kingdom', 0.853), ('United Arab Emirates', 0.846), ('Nigeria', 0.842)]"
fence_United Kingdom,"[('Romania', 0.894), ('Italy', 0.884), ('Spain', 0.883), ('Argentina', 0.882), ('Japan', 0.865), ('Turkey', 0.864), ('Colombia', 0.862), ('South Africa', 0.853), ('China', 0.851), ('Mexico', 0.849), ('South Korea', 0.839), ('Thailand', 0.831), ('United Arab Emirates', 0.797), ('Indonesia', 0.795), ('Egypt', 0.794), ('Philippines', 0.776), ('Nigeria', 0.707)]"
fence_Turkey,"[('Italy', 0.964), ('Spain', 0.958), ('Romania', 0.957), ('Colombia', 0.955), ('Argentina', 0.955), ('Mexico', 0.952), ('China', 0.941), ('South Korea', 0.934), ('Egypt', 0.928), ('Thailand', 0.924), ('Japan', 0.921), ('South Africa', 0.901), ('Indonesia', 0.898), ('United Arab Emirates', 0.893), ('Philippines', 0.887), ('United Kingdom', 0.864), ('Nigeria', 0.801)]"
fence_Italy,"[('Spain', 0.966), ('Turkey', 0.964), ('Argentina', 0.949), ('Colombia', 0.945), ('Romania', 0.945), ('Mexico', 0.938), ('Japan', 0.922), ('China', 0.917), ('South Korea', 0.909), ('Thailand', 0.905), ('South Africa', 0.889), ('United Kingdom', 0.884), ('Egypt', 0.882), ('Indonesia', 0.877), ('Philippines', 0.86), ('United Arab Emirates', 0.858), ('Nigeria', 0.767)]"
fence_Philippines,"[('Indonesia', 0.964), ('Thailand', 0.937), ('Mexico', 0.917), ('Colombia', 0.91), ('Argentina', 0.891), ('Turkey', 0.887), ('Egypt', 0.88), ('South Africa', 0.876), ('Nigeria', 0.871), ('Italy', 0.86), ('China', 0.858), ('Romania', 0.854), ('Japan', 0.849), ('Spain', 0.846), ('South Korea', 0.844), ('United Arab Emirates', 0.804), ('United Kingdom', 0.776)]"
fence_Indonesia,"[('Philippines', 0.964), ('Thailand', 0.957), ('Colombia', 0.924), ('Mexico', 0.917), ('Argentina', 0.9), ('Turkey', 0.898), ('Egypt', 0.888), ('China', 0.878), ('South Africa', 0.877), ('Italy', 0.877), ('Nigeria', 0.871), ('Romania', 0.869), ('Spain', 0.862), ('Japan', 0.859), ('South Korea', 0.857), ('United Arab Emirates', 0.821), ('United Kingdom', 0.795)]"
fence_Mexico,"[('Colombia', 0.981), ('Argentina', 0.977), ('Turkey', 0.952), ('Spain', 0.941), ('Italy', 0.938), ('Thailand', 0.935), ('South Africa', 0.925), ('Egypt', 0.922), ('Romania', 0.921), ('China', 0.918), ('Indonesia', 0.917), ('Philippines', 0.917), ('South Korea', 0.913), ('Japan', 0.91), ('United Arab Emirates', 0.871), ('United Kingdom', 0.849), ('Nigeria', 0.81)]"
fence_Japan,"[('South Korea', 0.946), ('Spain', 0.925), ('Colombia', 0.923), ('Italy', 0.922), ('Turkey', 0.921), ('China', 0.917), ('Romania', 0.914), ('Thailand', 0.911), ('Argentina', 0.91), ('Mexico', 0.91), ('United Kingdom', 0.865), ('South Africa', 0.865), ('United Arab Emirates', 0.865), ('Indonesia', 0.859), ('Egypt', 0.854), ('Philippines', 0.849), ('Nigeria', 0.743)]"
fence_Nigeria,"[('Indonesia', 0.871), ('Philippines', 0.871), ('South Africa', 0.842), ('Egypt', 0.836), ('Thailand', 0.813), ('Mexico', 0.81), ('Turkey', 0.801), ('Colombia', 0.797), ('Argentina', 0.789), ('Romania', 0.771), ('China', 0.767), ('Italy', 0.767), ('Spain', 0.764), ('United Arab Emirates', 0.743), ('Japan', 0.743), ('South Korea', 0.732), ('United Kingdom', 0.707)]"
fence_Egypt,"[('Turkey', 0.928), ('United Arab Emirates', 0.923), ('Mexico', 0.922), ('Colombia', 0.911), ('Argentina', 0.91), ('Thailand', 0.901), ('Spain', 0.897), ('China', 0.888), ('Indonesia', 0.888), ('South Africa', 0.886), ('Italy', 0.882), ('Philippines', 0.88), ('South Korea', 0.873), ('Romania', 0.865), ('Japan', 0.854), ('Nigeria', 0.836), ('United Kingdom', 0.794)]"
fence_Thailand,"[('Indonesia', 0.957), ('Colombia', 0.946), ('Philippines', 0.937), ('Mexico', 0.935), ('Argentina', 0.924), ('Turkey', 0.924), ('China', 0.923), ('South Korea', 0.916), ('Japan', 0.911), ('Italy', 0.905), ('Spain', 0.905), ('Egypt', 0.901), ('Romania', 0.896), ('South Africa', 0.882), ('United Arab Emirates', 0.878), ('United Kingdom', 0.831), ('Nigeria', 0.813)]"
fence_South Korea,"[('China', 0.953), ('Japan', 0.946), ('Turkey', 0.934), ('Colombia', 0.929), ('Spain', 0.918), ('Argentina', 0.917), ('Thailand', 0.916), ('Mexico', 0.913), ('Italy', 0.909), ('Romania', 0.906), ('United Arab Emirates', 0.882), ('Egypt', 0.873), ('Indonesia', 0.857), ('South Africa', 0.855), ('Philippines', 0.844), ('United Kingdom', 0.839), ('Nigeria', 0.732)]"
fence_Spain,"[('Italy', 0.966), ('Turkey', 0.958), ('Argentina', 0.956), ('Colombia', 0.951), ('Mexico', 0.941), ('Romania', 0.94), ('Japan', 0.925), ('China', 0.923), ('South Korea', 0.918), ('Thailand', 0.905), ('South Africa', 0.898), ('Egypt', 0.897), ('United Arab Emirates', 0.892), ('United Kingdom', 0.883), ('Indonesia', 0.862), ('Philippines', 0.846), ('Nigeria', 0.764)]"
fence_Argentina,"[('Mexico', 0.977), ('Colombia', 0.975), ('Spain', 0.956), ('Turkey', 0.955), ('Italy', 0.949), ('Romania', 0.938), ('South Africa', 0.928), ('Thailand', 0.924), ('China', 0.922), ('South Korea', 0.917), ('Egypt', 0.91), ('Japan', 0.91), ('Indonesia', 0.9), ('Philippines', 0.891), ('United Kingdom', 0.882), ('United Arab Emirates', 0.873), ('Nigeria', 0.789)]"
fence_Colombia,"[('Mexico', 0.981), ('Argentina', 0.975), ('Turkey', 0.955), ('Spain', 0.951), ('Thailand', 0.946), ('Italy', 0.945), ('China', 0.941), ('South Korea', 0.929), ('Romania', 0.927), ('Indonesia', 0.924), ('Japan', 0.923), ('South Africa', 0.917), ('Egypt', 0.911), ('Philippines', 0.91), ('United Arab Emirates', 0.883), ('United Kingdom', 0.862), ('Nigeria', 0.797)]"
fence_Romania,"[('Turkey', 0.957), ('Italy', 0.945), ('Spain', 0.94), ('Argentina', 0.938), ('Colombia', 0.927), ('Mexico', 0.921), ('Japan', 0.914), ('China', 0.912), ('South Korea', 0.906), ('Thailand', 0.896), ('United Kingdom', 0.894), ('South Africa', 0.893), ('Indonesia', 0.869), ('Egypt', 0.865), ('Philippines', 0.854), ('United Arab Emirates', 0.847), ('Nigeria', 0.771)]"
fence_China,"[('South Korea', 0.953), ('Colombia', 0.941), ('Turkey', 0.941), ('Thailand', 0.923), ('Spain', 0.923), ('Argentina', 0.922), ('Mexico', 0.918), ('Italy', 0.917), ('Japan', 0.917), ('Romania', 0.912), ('United Arab Emirates', 0.896), ('Egypt', 0.888), ('Indonesia', 0.878), ('South Africa', 0.873), ('Philippines', 0.858), ('United Kingdom', 0.851), ('Nigeria', 0.767)]"
fence_United Arab Emirates,"[('Egypt', 0.923), ('China', 0.896), ('Turkey', 0.893), ('Spain', 0.892), ('Colombia', 0.883), ('South Korea', 0.882), ('Thailand', 0.878), ('Argentina', 0.873), ('Mexico', 0.871), ('Japan', 0.865), ('Italy', 0.858), ('Romania', 0.847), ('South Africa', 0.846), ('Indonesia', 0.821), ('Philippines', 0.804), ('United Kingdom', 0.797), ('Nigeria', 0.743)]"
toilet paper_Brazil,"[('Serbia', 0.965), ('Colombia', 0.952), ('China', 0.951), ('Spain', 0.949), ('United States', 0.945), ('Netherlands', 0.938), ('India', 0.927), ('Nepal', 0.817), ('Philippines', 0.809)]"
toilet paper_Netherlands,"[('Colombia', 0.963), ('Brazil', 0.938), ('United States', 0.936), ('Spain', 0.933), ('Serbia', 0.913), ('China', 0.882), ('India', 0.858), ('Nepal', 0.708), ('Philippines', 0.692)]"
toilet paper_India,"[('Nepal', 0.928), ('China', 0.927), ('Brazil', 0.927), ('Serbia', 0.918), ('Philippines', 0.913), ('Colombia', 0.902), ('United States', 0.861), ('Netherlands', 0.858), ('Spain', 0.849)]"
toilet paper_Colombia,"[('Netherlands', 0.963), ('Brazil', 0.952), ('United States', 0.949), ('Serbia', 0.933), ('China', 0.923), ('Spain', 0.923), ('India', 0.902), ('Nepal', 0.77), ('Philippines', 0.742)]"
toilet paper_Philippines,"[('Nepal', 0.941), ('India', 0.913), ('China', 0.826), ('Brazil', 0.809), ('Serbia', 0.808), ('Colombia', 0.742), ('United States', 0.726), ('Spain', 0.722), ('Netherlands', 0.692)]"
toilet paper_China,"[('Brazil', 0.951), ('Serbia', 0.943), ('India', 0.927), ('Colombia', 0.923), ('United States', 0.912), ('Spain', 0.898), ('Netherlands', 0.882), ('Nepal', 0.853), ('Philippines', 0.826)]"
toilet paper_Serbia,"[('Brazil', 0.965), ('China', 0.943), ('United States', 0.939), ('Spain', 0.937), ('Colombia', 0.933), ('India', 0.918), ('Netherlands', 0.913), ('Nepal', 0.835), ('Philippines', 0.808)]"
toilet paper_Nepal,"[('Philippines', 0.941), ('India', 0.928), ('China', 0.853), ('Serbia', 0.835), ('Brazil', 0.817), ('Colombia', 0.77), ('United States', 0.754), ('Spain', 0.744), ('Netherlands', 0.708)]"
toilet paper_United States,"[('Colombia', 0.949), ('Brazil', 0.945), ('Spain', 0.941), ('Serbia', 0.939), ('Netherlands', 0.936), ('China', 0.912), ('India', 0.861), ('Nepal', 0.754), ('Philippines', 0.726)]"
toilet paper_Spain,"[('Brazil', 0.949), ('United States', 0.941), ('Serbia', 0.937), ('Netherlands', 0.933), ('Colombia', 0.923), ('China', 0.898), ('India', 0.849), ('Nepal', 0.744), ('Philippines', 0.722)]"
plate_Japan,"[('South Korea', 0.978), ('Turkey', 0.962), ('Thailand', 0.961), ('Italy', 0.958), ('Spain', 0.958), ('Romania', 0.956), ('Mexico', 0.956), ('Argentina', 0.949), ('Philippines', 0.949), ('United Kingdom', 0.949), ('Colombia', 0.943), ('Indonesia', 0.941), ('China', 0.938), ('South Africa', 0.935), ('United Arab Emirates', 0.934), ('Egypt', 0.933), ('Saudi Arabia', 0.931), ('Netherlands', 0.911), ('Nigeria', 0.906), ('Brazil', 0.869), ('Pakistan', 0.857), ('United States', 0.841), ('India', 0.838), ('Vietnam', 0.812), ('Serbia', 0.812), ('Cambodia', 0.805), ('Nepal', 0.781), ('Tunisia', 0.774), ('Cameroon', 0.77), ('Bangladesh', 0.766), ('Myanmar', 0.732), ('Malawi', 0.721)]"
plate_South Korea,"[('Japan', 0.978), ('Thailand', 0.97), ('Turkey', 0.964), ('Spain', 0.959), ('Mexico', 0.957), ('Philippines', 0.955), ('Romania', 0.953), ('Italy', 0.952), ('Indonesia', 0.952), ('China', 0.951), ('Colombia', 0.949), ('Egypt', 0.943), ('Argentina', 0.943), ('United Kingdom', 0.942), ('United Arab Emirates', 0.94), ('Saudi Arabia', 0.936), ('South Africa', 0.93), ('Nigeria', 0.92), ('Netherlands', 0.91), ('Brazil', 0.889), ('Pakistan', 0.877), ('India', 0.868), ('United States', 0.857), ('Cambodia', 0.846), ('Serbia', 0.839), ('Vietnam', 0.838), ('Tunisia', 0.819), ('Nepal', 0.818), ('Bangladesh', 0.806), ('Cameroon', 0.8), ('Myanmar', 0.771), ('Malawi', 0.76)]"
plate_Mexico,"[('Turkey', 0.979), ('Spain', 0.979), ('Argentina', 0.979), ('Colombia', 0.973), ('Romania', 0.973), ('Italy', 0.968), ('South Africa', 0.965), ('United Kingdom', 0.963), ('South Korea', 0.957), ('Egypt', 0.956), ('Japan', 0.956), ('Philippines', 0.955), ('Saudi Arabia', 0.952), ('Thailand', 0.949), ('Indonesia', 0.948), ('United Arab Emirates', 0.948), ('Netherlands', 0.934), ('Nigeria', 0.932), ('China', 0.915), ('Brazil', 0.913), ('Pakistan', 0.889), ('United States', 0.88), ('India', 0.87), ('Serbia', 0.844), ('Cambodia', 0.817), ('Tunisia', 0.813), ('Cameroon', 0.809), ('Vietnam', 0.807), ('Nepal', 0.804), ('Bangladesh', 0.79), ('Malawi', 0.745), ('Myanmar', 0.742)]"
plate_Italy,"[('Turkey', 0.981), ('Spain', 0.98), ('Romania', 0.976), ('Argentina', 0.976), ('Mexico', 0.968), ('United Kingdom', 0.967), ('Colombia', 0.959), ('South Africa', 0.959), ('Japan', 0.958), ('Egypt', 0.954), ('South Korea', 0.952), ('Saudi Arabia', 0.946), ('Thailand', 0.946), ('Indonesia', 0.944), ('United Arab Emirates', 0.944), ('Philippines', 0.942), ('Netherlands', 0.933), ('Nigeria', 0.921), ('China', 0.912), ('Brazil', 0.885), ('Pakistan', 0.87), ('United States', 0.849), ('India', 0.843), ('Serbia', 0.825), ('Cambodia', 0.801), ('Cameroon', 0.793), ('Vietnam', 0.79), ('Tunisia', 0.783), ('Nepal', 0.776), ('Bangladesh', 0.764), ('Myanmar', 0.719), ('Malawi', 0.716)]"
plate_Romania,"[('Turkey', 0.98), ('Spain', 0.978), ('Italy', 0.976), ('Argentina', 0.974), ('Mexico', 0.973), ('Colombia', 0.963), ('United Kingdom', 0.962), ('Egypt', 0.956), ('Japan', 0.956), ('South Korea', 0.953), ('Saudi Arabia', 0.948), ('South Africa', 0.947), ('Indonesia', 0.941), ('United Arab Emirates', 0.941), ('Netherlands', 0.941), ('Philippines', 0.939), ('Thailand', 0.937), ('China', 0.915), ('Nigeria', 0.909), ('Brazil', 0.905), ('Pakistan', 0.878), ('United States', 0.873), ('India', 0.862), ('Serbia', 0.857), ('Cambodia', 0.822), ('Vietnam', 0.807), ('Tunisia', 0.805), ('Cameroon', 0.804), ('Nepal', 0.796), ('Bangladesh', 0.789), ('Malawi', 0.744), ('Myanmar', 0.741)]"
plate_Spain,"[('Turkey', 0.984), ('Italy', 0.98), ('Mexico', 0.979), ('Romania', 0.978), ('Argentina', 0.978), ('Colombia', 0.974), ('United Kingdom', 0.964), ('South Africa', 0.961), ('South Korea', 0.959), ('Japan', 0.958), ('Egypt', 0.957), ('Philippines', 0.956), ('Indonesia', 0.952), ('Saudi Arabia', 0.952), ('United Arab Emirates', 0.952), ('Thailand', 0.951), ('Netherlands', 0.947), ('Nigeria', 0.926), ('China', 0.922), ('Brazil', 0.918), ('Pakistan', 0.891), ('United States', 0.874), ('India', 0.87), ('Serbia', 0.861), ('Cambodia', 0.829), ('Tunisia', 0.822), ('Vietnam', 0.814), ('Cameroon', 0.814), ('Nepal', 0.805), ('Bangladesh', 0.794), ('Myanmar', 0.748), ('Malawi', 0.741)]"
plate_Turkey,"[('Spain', 0.984), ('Italy', 0.981), ('Romania', 0.98), ('Argentina', 0.98), ('Mexico', 0.979), ('Egypt', 0.971), ('Colombia', 0.967), ('South Korea', 0.964), ('United Kingdom', 0.963), ('Saudi Arabia', 0.963), ('Japan', 0.962), ('South Africa', 0.96), ('Indonesia', 0.959), ('United Arab Emirates', 0.959), ('Thailand', 0.955), ('Philippines', 0.951), ('Nigeria', 0.938), ('Netherlands', 0.928), ('China', 0.923), ('Brazil', 0.891), ('Pakistan', 0.888), ('India', 0.862), ('United States', 0.846), ('Serbia', 0.827), ('Cambodia', 0.815), ('Tunisia', 0.809), ('Cameroon', 0.805), ('Nepal', 0.8), ('Vietnam', 0.798), ('Bangladesh', 0.786), ('Malawi', 0.741), ('Myanmar', 0.737)]"
